Name,Address,Postcode,City,Latitude,Longitude,Phone,Email,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Sunday hours,Map link
Librería Central,Carrer de Mallorca 123,8036,Barcelona,41.3947,2.1558,+34 93 123 4567,central@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/eLbPU116xYDXpQS4z
Punto Recogida Sol,Calle Gran Vía 28,28013,Madrid,40.4168,-3.7038,+34 91 234 5678,sol@example.com,08:30-14:00 16:30-20:30,08:30-14:00 16:30-20:30,08:30-14:00 16:30-20:30,08:30-14:00 16:30-20:30,08:30-14:00 16:30-20:30,09:00-14:00,Closed,https://share.google/e3QBSPwqURowMYnwI
Tienda Valencia Centro,Calle Colón 45,46004,Valencia,39.4699,-0.3762,+34 96 345 6789,valencia@example.com,09:00-14:00 17:00-21:00,09:00-14:00 17:00-21:00,09:00-14:00 17:00-21:00,09:00-14:00 17:00-21:00,09:00-14:00 17:00-21:00,10:00-14:00,Closed,https://share.google/1xfDmAj3w0WXASi3P
Establecimiento Sevilla,Avenida de la Constitución 9,41004,Sevilla,37.3886,-5.9964,+34 95 456 7890,sevilla@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,Closed,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00 17:00-20:00,Closed,https://share.google/6u3EgfCIoKRRD9jmm
Punto Zaragoza,Paseo Independencia 12,50001,Zaragoza,41.6488,-0.8891,+34 976 567 8901,zaragoza@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/YI2xR2ZnTNlR4zvmT
Centro Málaga,Calle Larios 8,29015,Málaga,36.7213,-4.4214,+34 952 678 9012,malaga@example.com,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,10:00-14:00,Closed,https://share.google/IN1xYASZHjFxZSpP1
Punto Madrid Norte,Calle Serrano 67,28006,Madrid,40.4297,-3.6882,+34 91 789 0123,madrid.norte@example.com,08:00-14:00 16:00-20:00,08:00-14:00 16:00-20:00,08:00-14:00 16:00-20:00,08:00-14:00 16:00-20:00,08:00-14:00 16:00-20:00,09:00-14:00,Closed,https://share.google/MhhBSnbyiwk1MorEQ
Tienda Bilbao,Gran Vía 23,48011,Bilbao,43.2627,-2.9253,+34 944 890 1234,bilbao@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/gaoR9tHqM9xdkBPIK
Alicante Centro,Rambla Méndez Núñez 14,3002,Alicante,38.3452,-0.4815,+34 965 901 2345,alicante@example.com,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,09:00-14:00 17:00-20:30,10:00-14:00,Closed,https://share.google/ypy4uOVbi98pY4TCl
Córdoba Punto,Avenida del Gran Capitán 18,14008,Córdoba,37.8882,-4.7794,+34 957 012 3456,cordoba@example.com,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,Closed,09:00-14:00 16:00-20:00,09:00-14:00 16:00-20:00,10:00-14:00,Closed,https://share.google/OVK1S32Q1r2ktxDBN
